Geneid	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821918.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821919.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821920.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821921.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821922.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821937.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821938.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821939.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821949.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821950.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821951.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821952.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821953.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821968.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821969.sorted.bam	/data/users/jgroff/DE_RNA_Seq/03_Map_reads//SRR7821970.sorted.bam
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	3708	3514	3102	3943	3053	3875	2614	4554	1997	1323	2034	1303	1311	1191	481	678
ENSMUSG00000104391	9	23	21	16	8	3	3	16	15	9	14	14	10	26	0	1
ENSMUSG00000102133	1	1	7	3	0	3	0	5	0	1	1	2	0	0	0	0
ENSMUSG00000102749	1	0	3	0	0	1	1	0	0	0	1	2	0	0	0	0
ENSMUSG00000103163	0	0	4	0	2	0	0	1	0	0	0	0	0	0	0	2
ENSMUSG00000103646	1	0	10	0	1	4	3	3	0	7	3	3	3	1	0	0
ENSMUSG00000102427	0	0	1	0	0	0	0	0	3	1	1	3	0	5	0	0
ENSMUSG00000103633	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097892	2	3	2	3	1	17	15	15	7	1	7	0	1	1	0	0
ENSMUSG00000063659	1434	1383	1327	1617	1364	2178	1783	2370	1426	1053	1459	1118	794	1407	503	974
ENSMUSG00000102432	1	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000103043	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000102885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026049	188	197	126	213	176	129	53	151	159	128	134	96	88	84	27	49
ENSMUSG00000103767	1	0	0	0	0	12	11	10	0	0	0	0	0	0	0	0
ENSMUSG00000043019	2174	2246	2121	2504	2630	2483	1557	3129	1026	647	1090	841	627	611	229	447
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	2	0	0	2	1	4	6	7	0	0	0	0	0	0	0	0
ENSMUSG00000032666	799	695	674	798	679	1174	1117	1218	596	367	506	371	352	195	100	109
ENSMUSG00000084557	0	1	0	4	0	2	0	2	1	2	0	0	1	0	0	0
ENSMUSG00000100685	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
